GRAPH_NAME,THREADS,DISABLE_HYPERTHREADING,THREAD_BIND_POLICY,RUN,ELAPSED_TIME,SPEEDUP
com-Friendster,22,false,close,10,0.26171,4.222704520270529
com-Friendster,22,false,spread,1,0.3114,3.5556101477199737
com-Friendster,22,false,spread,2,0.31647,3.4986475811293327
com-Friendster,22,false,spread,3,0.31118,3.558123915418728
com-Friendster,22,false,spread,4,0.3174,3.4883963453056075
com-Friendster,22,false,spread,5,0.30949,3.577553394293838
com-Friendster,22,false,spread,6,0.32252,3.433018107404192
com-Friendster,22,false,spread,7,0.31491,3.51597916865136
com-Friendster,22,false,spread,8,0.31164,3.5528719034783727
com-Friendster,22,false,spread,9,0.3102,3.5693649258542877
com-Friendster,22,false,spread,10,0.31615,3.502188834414044
com-Friendster,22,true,close,1,0.25542,4.326626732440686
com-Friendster,22,true,close,2,0.25599,4.316992851283253
com-Friendster,22,true,close,3,0.2557,4.321888932342588
com-Friendster,22,true,close,4,0.25525,4.329508325171401
com-Friendster,22,true,close,5,0.25463,4.340050269017789
com-Friendster,22,true,close,6,0.2551,4.3320540964327705
com-Friendster,22,true,close,7,0.25582,4.319861621452583
com-Friendster,22,true,close,8,0.25509,4.33222392096907
com-Friendster,22,true,close,9,0.25479,4.337324855763569
com-Friendster,22,true,close,10,0.25505,4.332903352283865
com-Friendster,22,true,spread,1,0.31114,3.558301729125153
com-Friendster,22,true,spread,2,0.31695,3.4930746174475473
com-Friendster,22,true,spread,3,0.32281,3.4296645085344326
com-Friendster,22,true,spread,4,0.31028,3.5681642387520953
com-Friendster,22,true,spread,5,0.32157,3.4428895730323106
com-Friendster,22,true,spread,6,0.32107,3.448251160183138
com-Friendster,22,true,spread,7,0.31142,3.555102434011946
com-Friendster,22,true,spread,8,0.31154,3.55373306798485
com-Friendster,22,true,spread,9,0.32106,3.4483585622625057
com-Friendster,22,true,spread,10,0.31069,3.5634555344555667
com-Friendster,28,false,close,1,0.26086,4.236464003680136
com-Friendster,28,false,close,2,0.26142,4.227388876138017
com-Friendster,28,false,close,3,0.26091,4.235652140584877
com-Friendster,28,false,close,4,0.26955,4.099884993507699
com-Friendster,28,false,close,5,0.26476,4.174059525608099
com-Friendster,28,false,close,6,0.26161,4.2243186422537375
com-Friendster,28,false,close,7,0.26132,4.229006581968469
com-Friendster,28,false,close,8,0.26084,4.236788836068088
com-Friendster,28,false,close,9,0.26913,4.106283208858174
com-Friendster,28,false,close,10,0.26451,4.178004612301993
com-Friendster,28,false,spread,1,0.35377,3.1297651016196966
com-Friendster,28,false,spread,2,0.32558,3.400752503225014
com-Friendster,28,false,spread,3,0.33401,3.3149217089308705
com-Friendster,28,false,spread,4,0.32804,3.3752499695159126
com-Friendster,28,false,spread,5,0.30407,3.641322721741704
com-Friendster,28,false,spread,6,0.33772,3.27850586284496
com-Friendster,28,false,spread,7,0.34003,3.2562332735346877
com-Friendster,28,false,spread,8,0.32773,3.3784426204497597
com-Friendster,28,false,spread,9,0.32193,3.439309787842077
com-Friendster,28,false,spread,10,0.34469,3.212210972177899
com-Friendster,28,true,close,1,0.33275,3.3211329827197593
com-Friendster,28,true,close,2,0.32658,3.3838783758956454
com-Friendster,28,true,close,3,0.38096,2.9008478580428387
com-Friendster,28,true,close,4,0.33348,3.313862900323857
com-Friendster,28,true,close,5,0.33901,3.2598064953836166
com-Friendster,28,true,close,6,0.33922,3.257788455869347
com-Friendster,28,true,close,7,0.3461,3.193028026581912
com-Friendster,28,true,close,8,0.34301,3.221792367569458
com-Friendster,28,true,close,9,0.36071,3.063699370685592
com-Friendster,28,true,close,10,0.33269,3.321731942649313
