GRAPH_NAME,GRAPH_URL,THREADS,MAX_ITERS,TOLERANCE,DISABLE_HYPERTHREADING,THREAD_BIND_POLICY,LOGS_GAPBS,VTUNE_ENABLE,ELAPSED_TIME,SPEEDUP,PARALLEL_EFFICIENCY,ELAPSED_TIME_MEAN,SEQUENTIAL_TIME
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,4,500,1e-06,True,close,True,False,0.055493,3.2008721820770187,0.8002180455192547,0.055493,0.177626
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,4,500,1e-06,False,close,True,False,0.089168,1.9908150906154674,0.49770377265386684,0.089168,0.17751699999999998
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,12,500,1e-06,True,close,True,False,0.028974,6.130530820735832,0.5108775683946527,0.028974,0.177626
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,12,500,1e-06,False,close,True,False,0.040159,4.420354092482382,0.3683628410401985,0.040159,0.17751699999999998
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,22,500,1e-06,True,close,True,False,0.017403000000000002,10.20663104062518,0.46393777457387175,0.017403000000000002,0.177626
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,22,500,1e-06,False,close,True,False,0.025516,6.957085750117573,0.3162311704598897,0.025516,0.17751699999999998
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,28,500,1e-06,True,close,True,False,0.020006,8.878636409077277,0.3170941574670456,0.020006,0.177626
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,28,500,1e-06,False,close,True,False,0.025068,7.081418541566937,0.25290780505596205,0.025068,0.17751699999999998
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,36,500,1e-06,True,close,True,False,0.020322,8.740576714890267,0.24279379763584075,0.020322,0.177626
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,36,500,1e-06,False,close,True,False,0.025218,7.039297327305891,0.1955360368696081,0.025218,0.17751699999999998
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,44,500,1e-06,True,close,True,False,0.020814,8.533967521860287,0.19395380731500653,0.020814,0.177626
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,44,500,1e-06,False,close,True,False,0.02525,7.030376237623761,0.15978127812781276,0.02525,0.17751699999999998
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,66,500,1e-06,True,close,True,False,0.025207,7.046693378823343,0.10676808149732338,0.025207,0.177626
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,66,500,1e-06,False,close,True,False,0.028761000000000002,6.172142832307638,0.0935173156410248,0.028761000000000002,0.17751699999999998
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,88,500,1e-06,True,close,True,False,0.026253,6.765931512589038,0.07688558537032997,0.026253,0.177626
web-Stanford,https://snap.stanford.edu/data/web-Stanford.txt.gz,88,500,1e-06,False,close,True,False,0.029244,6.070202434687457,0.06897957312144838,0.029244,0.17751699999999998
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,1,500,1e-06,True,close,True,False,0.081216,1.0,1.0,0.081216,0.081216
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,1,500,1e-06,False,close,True,False,0.079202,1.0,1.0,0.079202,0.079202
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,4,500,1e-06,True,close,True,False,0.079247,1.0248463664239655,0.2562115916059914,0.079247,0.081216
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,4,500,1e-06,False,close,True,False,0.084063,0.9421743216397226,0.23554358040993065,0.084063,0.079202
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,12,500,1e-06,True,close,True,False,0.039344000000000004,2.0642537616917442,0.17202114680764535,0.039344000000000004,0.081216
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,12,500,1e-06,False,close,True,False,0.042725,1.8537624341720302,0.15448020284766922,0.042725,0.079202
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,22,500,1e-06,True,close,True,False,0.026745,3.0366797532249015,0.13803089787385914,0.026745,0.081216
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,22,500,1e-06,False,close,True,False,0.026109,3.0335133478877014,0.1378869703585319,0.026109,0.079202
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,28,500,1e-06,True,close,True,False,0.027816,2.9197584124245037,0.10427708615801799,0.027816,0.081216
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,28,500,1e-06,False,close,True,False,0.023885,3.3159723675947244,0.11842758455695444,0.023885,0.079202
com-Orkut,https://snap.stanford.edu/data/bigdata/communities/com-orkut.all.cmty.txt.gz,36,500,1e-06,True,close,True,False,0.023993,3.384987287958988,0.09402742466552745,0.023993,0.081216
