GRAPH_NAME,THREADS,DISABLE_HYPERTHREADING,THREAD_BIND_POLICY,AVERAGE_CPU_FREQUENCY,MEMORY_BOUND,CACHE_BOUND,DRAM_BOUND,CPI_RATE,AVERAGE_CPU_FREQUENCY_STD,MEMORY_BOUND_STD,CACHE_BOUND_STD,DRAM_BOUND_STD,CPI_RATE_STD
com-Friendster,44,False,spread,2802759272.8324823,71.5,42.739999999999995,31.1,2.9945942,85246.2445651595,0.46904157598234436,1.5076471735787542,1.3583077707206115,0.0752460558115837
com-Friendster,44,True,close,2803344731.502649,73.02000000000001,45.760000000000005,30.28,3.104276,152146.65708159632,0.5495452665613579,1.543696861433616,1.4377065069060524,0.04101914734608694
com-Friendster,44,True,spread,2803885475.0040107,73.06,45.56,30.639999999999997,3.1125174,159508.04893806513,1.06207344378814,1.9526904516589414,1.6682325976913401,0.05829104664783442
com-Friendster,66,False,close,2803883918.934215,52.86,54.88000000000001,12.66,3.8299598,198055.26628694724,0.5128352561983216,0.24899799195977218,0.7635443667528432,0.030303806142133266
com-Friendster,66,False,spread,2801757401.0316167,61.56,57.160000000000004,9.98,4.9933642,108220.18823627972,0.6348228099241529,5.355184403921122,5.544997745716405,0.0259164019435566
com-Friendster,66,True,close,2803986705.458183,73.3,52.36,25.4,2.9753854,177779.4904105526,1.3076696830622039,3.7031068037527604,3.175688901640083,0.05762861025393574
com-Friendster,66,True,spread,2804151349.723512,73.66,50.36,27.6,2.961704,214377.08886329568,0.5412947441089688,1.7966635745180548,1.5811388300841893,0.0648010037846636
com-Friendster,88,False,close,2802730999.440362,68.36,54.1,14.14,5.1870798,232486.67816072446,0.8648699324175908,2.250555486985379,1.2300406497347955,0.08785386978215647
com-Friendster,88,False,spread,2801582065.401023,68.0,54.8,7.359999999999999,5.8452772,324234.8821178552,0.5099019513592787,4.335896677735761,4.408287649416721,0.05023481851962842
com-Friendster,88,True,close,2804210346.8550477,76.84,77.53999999999999,4.2,3.2325212,270278.67265833146,1.4081903280451866,4.294531406335279,4.423234110919295,0.07384358751239008
com-Friendster,88,True,spread,2804780040.6996613,76.2,75.96000000000001,5.26,3.226138,95069.37272399923,1.1335784048754625,2.5938388538997543,1.9165072397463048,0.04292847865927711
com-LiveJournal,1,False,close,3600199999.320591,25.98,29.0,0.0,0.6327619999999999,11711135.866238905,0.7694153624668547,1.5182226450688978,0.0,0.0036636908302966997
com-LiveJournal,1,False,spread,3601219010.3582535,34.279999999999994,36.68,0.0,0.6977184000000001,11177539.531048773,0.580517010948004,1.9253571097331537,0.0,0.005542834274989669
com-LiveJournal,1,True,close,3608219078.0134673,17.919999999999998,21.78,0.0,0.5886496,7181390.108051672,2.666833328125325,2.3752894560453064,0.0,0.006549374687708702
com-LiveJournal,1,True,spread,3615080812.3272467,18.78,22.46,0.0,0.5859098,7098851.501955971,3.1107876816009163,1.6562004709575464,0.0,0.006431358270225625
com-LiveJournal,4,False,close,3576385581.9408555,17.5,35.08,0.0,1.072511,3839039.9456413332,0.47434164902525633,2.2241852440837784,0.0,0.0036947978293811736
com-LiveJournal,4,False,spread,3579337060.220646,41.4,48.1,0.0,0.8710276,3057545.8878782545,1.793042107704109,2.600961360727991,0.0,0.002331965222725276
com-LiveJournal,4,True,close,3320785237.409202,23.259999999999998,28.4,0.0,0.6921864,8669896.841412172,1.6531787562148252,3.2695565448543635,0.0,0.009206514856339516
com-LiveJournal,4,True,spread,3579010078.302367,39.519999999999996,46.019999999999996,0.0,0.8557346000000001,6276973.600010301,2.163792966066763,2.843765109849971,0.0,0.021659181385731065
com-LiveJournal,12,False,close,3125653697.358262,17.419999999999998,27.580000000000002,0.6799999999999999,1.1388926,5479205.577059074,3.993369504566288,5.831123390908481,1.520526224699857,0.009149086664798824
com-LiveJournal,12,False,spread,3106310900.82706,32.4,36.760000000000005,0.0,0.9857298,5448867.395310051,2.7413500323745623,4.629578814535939,0.0,0.009673452367174817
com-LiveJournal,12,True,close,2856842009.1497245,28.860000000000003,37.160000000000004,0.0,0.9258863999999999,12044559.202924915,3.0435177016077977,6.8857098399511445,0.0,0.01431981341708057
com-LiveJournal,12,True,spread,3123586308.8616815,37.72,53.98,0.0,0.9739948,12694262.342282621,4.588245852174882,11.413456969735329,0.0,0.01439814415818929
com-LiveJournal,22,False,close,2842444401.41881,14.180000000000001,38.5,1.72,1.3360873999999998,5987165.871832181,1.4042791745233563,2.5258661880630164,0.6906518659932801,0.02743526936809623
com-LiveJournal,22,False,spread,2835903368.021985,32.06,32.18,16.16,1.1805024,8170703.179360639,3.9620701659612245,10.307133452129161,0.5813776741499448,0.01880971566239109
com-LiveJournal,22,True,close,2833211719.774433,35.17999999999999,41.160000000000004,0.0,1.2617786,17122331.896919012,2.863913406512142,1.2340988615179895,0.0,0.013221757156293569
com-LiveJournal,22,True,spread,2853849288.2335467,27.119999999999997,23.78,10.3,1.0941262,16449059.833338195,4.580065501715014,5.2040368945656015,6.729413050184987,0.017497152645502088
com-LiveJournal,28,False,close,2848328221.6557145,19.5,42.019999999999996,2.38,1.5245804,9095376.692558305,3.248845948948642,6.3711851330816,0.34205262752974136,0.02405417695120746
com-LiveJournal,28,False,spread,2823384248.6319504,39.12,32.1,23.36,1.381779,9978425.330387248,2.4314604664686605,1.7421251390184354,6.343737068952337,0.020885125245015887
com-LiveJournal,28,True,close,2891327703.841969,34.4,34.08,7.280000000000001,1.340437,10205697.868509209,4.527692569068708,6.215062348842529,4.995698149408149,0.03721193524260742
com-LiveJournal,28,True,spread,2875362235.3223467,19.16,29.5,3.3200000000000003,1.1699942,22980408.935653284,6.906373867667461,12.139810542178985,0.4086563348340509,0.011124265647673107
com-LiveJournal,36,False,close,2840747676.039231,29.4,51.64,3.0,1.789825,12201189.292346759,3.362290885690887,1.6757088052522742,0.8689073598491384,0.0223526672122143
com-LiveJournal,36,False,spread,2833878277.14133,41.839999999999996,49.62,12.219999999999999,1.6749569999999998,12596426.926455079,3.2996969557824536,4.6504838457949695,11.15580566342028,0.035049475580955544
com-LiveJournal,36,True,close,2836080296.8004026,24.7,23.6,12.940000000000001,1.4791732,19855449.907970443,11.521501638241432,6.7301560160222165,14.002249819225481,0.04683266225830006
com-LiveJournal,36,True,spread,2846093460.4236946,27.22,29.8,8.9,1.4084054,21118167.203088578,8.95248568834377,3.7769034936042516,11.049886877249017,0.04511631844798511
com-LiveJournal,44,False,close,2833926611.2434764,26.22,43.0,2.0200000000000005,2.0264052,16980292.59872945,2.163792966066763,7.613474896523926,2.0474374227311567,0.08331147683962857
com-LiveJournal,44,False,spread,2843128723.2333703,45.620000000000005,48.1,10.44,1.8998084,16162069.136982497,3.5541525009487143,14.198767552150432,15.563033123398535,0.020924442186113452
com-LiveJournal,44,True,close,2843816138.255846,37.14,48.64,4.14,1.5390356,18384622.3551292,4.479732134849135,13.257752449039016,9.25732142684913,0.024605641920096306
